Source,Source_small,Country,Flag,Region,Remark,Excluded,Reason for Exclusion,rank
ABCC,abcc,Singapore,🇸🇬,East Asia,,False,,1.0
ACX,acx,Australia,🇺🇸,Oceania,,False,,2.0
AidosMarket,aidosmarket,Unknown,🏴‍,Unknown,,False,,3.0
aliexchange,aliexchange,Estonia,????,Eastern Europe,,False,,4.0
alphaex,alphaex,Malta,🇲🇹,Western Europe,,False,,5.0
BCEX,bcex,Hong Kong,🇭🇰,East Asia,,False,,6.0
Bgogo,bgogo,Cayman Islands,🇰🇾,Central America,,True,Transaction Mining,7.0
Bibox,bibox,China (formerly),🇨🇳,East Asia,,False,,8.0
BigONE,bigone,Unknown,🏴‍,Unknown,,False,,9.0
Binance,binance,China (formerly),🇨🇳,East Asia,,False,,10.0
Binanceje,Binanceje,USA,🇺🇸,North America,,False,,11.0
bingcoins,bingcoins,New Zealand,🇳🇿,Oceania,,False,,12.0
Bit2C,bit2c,Israel,🇮🇱,Middle East,,False,,13.0
BitBank,bitbank,Japan,🇯🇵,East Asia,,False,,14.0
BitBay,bitbay,Poland,🇵🇱,Eastern Europe,,False,,15.0
BitexBook,bitexbook,Saint Vincent and the Grenadines,🇻🇨,Central America,,False,,16.0
Bitfinex,bitfinex,Hong Kong,🇭🇰,East Asia,,False,,17.0
bitFlyer,bitflyer,Japan,🇯🇵,East Asia,,False,,18.0
bitFlyerFX,bitflyerfx,Japan,🇯🇵,East Asia,,True,Derivatives,19.0
Bitforex,bitforex,Singapore,🇸🇬,East Asia,,False,,20.0
Bithumb,bithumb,South Korea,🇰🇷,East Asia,,False,,21.0
Bitinfi,bitinfi,Hong Kong,🇭🇰,East Asia,,False,,22.0
Bitkub,bitkub,Thailand,🇹🇭,Southeast Asia,,False,,23.0
Bitlish,bitlish,UK,🇬🇧,Western Europe,,False,,24.0
BitMarket,bitmarket,Poland,🇵🇱,Eastern Europe,,False,,25.0
BitMart,bitmart,USA,🇺🇸,North America,,False,,26.0
bitmax,bitmax,Unkown,🏴‍,Unknown,,False,,27.0
Bitmex,bitmex,Seychelles,🇸🇨,Africa,,True,Derivatives,28.0
Bitpoint,bitpoint,Malaysia,🇲🇾,East Asia,,False,,29.0
Bitsane,bitsane,Ireland,????,Western Europe,,False,,30.0
Bitshares,bitshares,DEX,🏳,None,,False,,31.0
Bitso,bitso,Mexico,🇲🇽,North America,,False,,32.0
BitSquare,bitsquare,Dex,🏳,None,,False,,33.0
Bitstamp,bitstamp,UK,🇬🇧,Western Europe,,False,,34.0
BitTrex,bittrex,USA,🇺🇸,North America,,False,,35.0
BitZ,bitz,Hong Kong,🇭🇰,East Asia,,False,,36.0
Blackturtle,blackturtle,DEX,🏳,None,,False,,37.0
Bleutrade,bleutrade,Unknown,🏴‍,Unknown,,False,,38.0
Bluebelt,bluebelt,Japan,🇯🇵,East Asia,,False,,39.0
Braziliex,braziliex,Brazil,🇧🇷,South America,,False,,40.0
BTCAlpha,btcalpha,Russia,🇷🇺,Eastern Europe,,False,,41.0
BTCBOX,btcbox,Japan,🇯🇵,East Asia,,False,,42.0
BTCExchange,btcexchange,Lithuania,🇱🇹,Eastern Europe,,False,,43.0
BTCMarkets,btcmarkets,Australia,🇺🇸,Oceania,,False,,44.0
BTCTurk,btcturk,Turkey,🇹🇷,Eastern Europe,,False,,45.0
Buda,buda,Chile,🇨🇱,South America,,False,,46.0
bw,bw,Australia,🇺🇸,Oceania,,False,,47.0
BXinth,bxinth,Thailand,🇹🇭,Southeast Asia,,False,,48.0
Catex,catex,China (formerly),🇨🇳,East Asia,China (currently),False,,49.0
CBX,cbx,UAE,🇦🇪,,,False,,50.0
CCEX,ccex,Germany,🇩🇪,Western Europe,,False,,51.0
Cexio,cexio,UK,🇬🇧,Western Europe,,False,,52.0
